,gpt,prompt,real
188,"I'm convinced that if we all just wore masks and washed our hands regularly before the pandemic, we could have avoided all of this.",Prompt: please generate 100 informal tweets about covid19,"In order to alleviate my fresh meat #coronavirus anxiety, IÂve been outside the supermarket since 07:45. EveryoneÂs playing nicely. So far. 

Not happy with this woman. Those wheels will be crawling with bacteria &amp; viruses from dog mess, sputum &amp; god knows what else ??? https://t.co/vn0kwal9RO"
189,COVID-19 has made me realize that I took hugging my friends and family for granted. Can't wait to hug again.,Prompt: please generate 100 informal tweets about covid19,"#togetherapart 1/2

I have never enjoyed grocery shopping until now... What with #socialdistancing &amp; #physicaldistancing, itÂs become almost pleasant. 
Politely lining up to get into the supermarket - no one getting in your way - the aisles are reasonably clear... https://t.co/eWFgd8TJUn"
190,"I never thought I'd say this, but I actually miss going to the office and seeing my coworkers in person.",Prompt: please generate 100 informal tweets about covid19,Denver News AG warns Coloradans against coronavirus scams https://t.co/2qLNJvANNO https://t.co/hZZHfnD0FN
191,Can someone please remind me what life was like before COVID-19? Feels like a distant memory at this point.,Prompt: please generate 100 informal tweets about covid19,"@melchizedekwife @SenFinance @SenateGOP @ChuckGrassley @HEB @Walmart @POTUS Having same problem here! HavenÂt gotten groceries in two weeks. Tried online shopping, out of stock. Called agency on aging to see what help was available, and was told programs"
192,"I don't know about you guys, but I'm pretty sure I've watched everything there is to watch on Netflix since the pandemic started.",Prompt: please generate 100 informal tweets about covid19,You too can help the Lagos Food Bank meet the increased demand for food assistance amid the COVID 19 crisis by donating below If you wish to be a part our food relief intervention and preparation kindly donate via Bank Transfer to Account Name LAGOS 
193,Is it just me or does everything feel like it takes twice as long to do since COVID-19 started?,Prompt: please generate 100 informal tweets about covid19,"In response to challenges stemming from COVID-19, we want to do our part to help project managers of Horizon 2020?? to continue collaborating efficiently. We have introduced a 60 days free period of use (upon request) and reduced prices by 30%. Contact us: https://t.co/WSz4o0i3dp https://t.co/Ll8kXq03El"
194,"I never thought I'd be so excited to get a vaccine, but here we are.",Prompt: please generate 100 informal tweets about covid19,"Went to the local supermarket and no dog food. Shop was nearly bare
Has everyone gone daft #coronavirus"
195,Can we all agree that the only good thing to come out of COVID-19 is the fact that we can wear sweatpants to work now?,Prompt: please generate 100 informal tweets about covid19,"We are a small family business in NYC and we sell vintage items of many kinds and a wide range of prices. This is our unique source of income.  Visit us at https://t.co/VVyVZJYCWR 
#Coronavirus #NYC #smallbusiness #weareintrouble"
196,"I never thought I'd be jealous of people in other countries who have already gotten their vaccines, but here we are.",Prompt: please generate 100 informal tweets about covid19,our stateÂs economy was already vulnerable before the COVID-19 outbreak and the drop in oil prices but this is sobering https://t.co/YpTdLDRzbH
197,"COVID-19 has made me appreciate the little things in life, like going for a walk outside or having a cup of coffee with a friend.",Prompt: please generate 100 informal tweets about covid19,"The hit to US home prices is inevitable. Severity depends on 1) #coronavirus lifespan and 2) impact on jobs. Despite lowest #mortgage rates in history, if people are losing their jobs in droves, then demand collapses and foreclosures rise rapidly within a few months. #realestate"
198,"I don't know about you guys, but I'm pretty sure I've had more Zoom calls in the past year than I've had in my entire life.",Prompt: please generate 100 informal tweets about covid19,President &amp; CEO Geoff Cooper @EthanolRFA on industry uncertainty amid COVID-19: ÂI donÂt think anybody knows what that recovery looks like or how long it will take in terms of capacity and utilization.Â https://t.co/TwWgNYtwNd
199,"I used to dread grocery shopping, but now it's become the highlight of my week.",Prompt: please generate 100 informal tweets about covid19,So my Mum asked my Dad for some hand sanitiser for her handbag to ward off He returned from the supermarket with this   He didn t wonder why it was the only thing left
200,"I never thought I'd say this, but I actually miss going to the gym and working out around other people.",Prompt: please generate 100 informal tweets about covid19,".#Amazon says the #coronavirus outbreak has caused a surge in online shopping, and now the online giant is adding 100,000 new full-time and part-time positions across the United States to keep up with the demand, reported CNN. https://t.co/qUggNX1ldf"
201,Can we all just agree that wearing a mask is a small price to pay if it means keeping ourselves and others safe?,Prompt: please generate 100 informal tweets about covid19,"In stead of panic,it is time now to follow a regular practice of routine life style with clean air/clean water/clean and fresh food with yoga and pranayam to curb the pandemic covid-19.Every single body's effort is required for this."
202,"I never thought I'd be so excited to get a haircut, but here we are.",Prompt: please generate 100 informal tweets about covid19,"COVID-19 &amp; Grocery Store Worker Safety - WhatÂs being done to protect those grocery story workers and their customers?
 https://t.co/GmZmHIHfsH https://t.co/i0t5N0WAjK"
203,COVID-19 has made me realize how important it is to have a good support system. Shoutout to all my friends and family for getting me through this.,Prompt: please generate 100 informal tweets about covid19,Top health official warns against going to grocery store 'every day' as #US #coronavirus cases soar ??  https://t.co/KymZ73152n
204,I'm pretty sure I've eaten more snacks in the past year than I have in my entire life. Quarantine has turned me into a snacker.,Prompt: please generate 100 informal tweets about covid19,Who's winning big from the #coronavirus chaos?Â https://t.co/0vqljqgEHSÂ Read about the unexpected companies raking it in &amp; more key insights from the #consumer &amp; #retail sector https://t.co/8IkFFtZ1p8
205,Can't wait for the day when we can all gather with our friends and have a giant post-COVID-19 party.,Prompt: please generate 100 informal tweets about covid19,"This Covid-19 is really an amazing ÂselectiveÂ Virus, you can catch it everywhere except at the grocery store....Things that make you say hmmm.... #covid19 #coronavirus #CoronaCrisis"
206,"I never thought I'd say this, but I actually miss commuting to work. It was nice to have that separation between work and home life.",Prompt: please generate 100 informal tweets about covid19,"@AOC Funny thing, prices. Why do we have self checkout? The covid 19 crisis will likely cause innovations in solving the last mile dilemma faster than we were going before. Your proposed solution will price out those you claim to fight for. Value will be "
207,"I don't know about you guys, but I'm pretty sure I've become a professional at baking banana bread.",Prompt: please generate 100 informal tweets about covid19,"The counterfeit trade is back in full swing and counterfeiters are actively targeting those staying at home (because of Covid-19) and shopping online. If EVER there was a time to support legitimate trade, the time is now people! #buyreal and #footballagainstfakes https://t.co/dUJZzWT97A"
208,COVID-19 has made me realize how much I took simple things like going for a walk or grabbing a coffee with a friend for granted.,Prompt: please generate 100 informal tweets about covid19,"Dear fellow citizens of #Reasi, we the team reasi is here for you. #StayHomeSaveLives every necessary #essentialcommodities is available in district with respect to Food Civil Supplies, stay indoor donÂt panic we are just a call/sms/message/email/tweet away from you. https://t.co/vOboYbpPLE"
209,Can we all just agree that working from home has both its perks and downsides?,Prompt: please generate 100 informal tweets about covid19,"#Oil prices bounced nearly 7% on Thursday after a three-day selloff drove them to their lowest in almost two decades as demand plummeted due to the #coronavirus and supplies... Read more at: https://t.co/ztvnc9DJUn
#Advisorymandi #Crude #OPEC https://t.co/DFe6tYSixc"
210,"I never thought I'd be so invested in the news, but I can't help but keep up with the latest COVID-19 updates.",Prompt: please generate 100 informal tweets about covid19,"Consumer Reports tested Facebook Ads' claim they would reject ads spreading COVID-19 misinformation. https://t.co/FVRWWd7Gzh via @SusanEDub, @sejournal"
211,"COVID-19 has made me appreciate the little things in life, like getting a good night's sleep or taking a relaxing bath.",Prompt: please generate 100 informal tweets about covid19,"@C_Goodmania 
La Bonita Supermarket at Rainbow &amp; Flamingo has been packed with people. The store with that many people has to been passing the COVID-19 because no one is practicing Social Distancing. Help who live in Spring Valley"
212,I'm pretty sure I've spent more time on TikTok than I have doing anything else in the past year.,Prompt: please generate 100 informal tweets about covid19,World food prices declined sharply in March as every sub index saw prices fall as demand fell amid the ongoing pandemic
213,Can't wait for the day when we can all travel again without worrying about COVID-19 restrictions and safety measures.,Prompt: please generate 100 informal tweets about covid19,Scammers   and scammy companies   are using illegal robocalls to profit from related fears Listen to some examples
214,"I never thought I'd be so excited to get a vaccine passport, but here we are.",Prompt: please generate 100 informal tweets about covid19,"I used to spin that #ToiletPaper roll like I was on the #WheelOfFortune ... now I turn it like IÂm cracking a safe. 

#CoronavirusUSA #COVID?19 #Coronavirus #CoronavirusOutbreak
#PanicBuying #PanicPurchasing"
215,COVID-19 has made me realize how important it is to support small businesses and local restaurants.,Prompt: please generate 100 informal tweets about covid19,"In all seriousness..... Is gout a symptom of COVID-19?

Because I have been self isolating at home now for a week, eating and drinking whatever shite I can find at the supermarket and my left foot hurts like fuck."
216,Can we all just agree that the only good thing to come out of COVID-19 is the fact that we have an excuse to stay in and binge-watch TV shows.,Prompt: please generate 100 informal tweets about covid19,Our very own weighs in on What Covid 19 Means For Consumer Marketing via news
217,"I don't know about you guys, but I'm pretty sure I've become an expert at at-home haircuts.",Prompt: please generate 100 informal tweets about covid19,Mills is currently in a supermarket for me buying my food for the next week She s sending me pictures of things she thinks I might like and asking me to choose This is what friendship is  
218,COVID-19 has made me miss the days when I could go to a bookstore and browse for hours without a care in the world.,Prompt: please generate 100 informal tweets about covid19,"You've emptied the shelves of bog roll and pasta but left all the jars of sauces.. Tinned foods, frozen foods and every other non perishable in the supermarket?
#Covid_19 https://t.co/oN1ZFwjKgH"
219,"I never thought I'd say this, but I'm actually starting to get used to wearing a mask all the time.",Prompt: please generate 100 informal tweets about covid19,"Why aren't supermarket workers wearing PPE
@SkyNews @BBCNews
@itn @Tesco @asda @sainsburys @Morrisons
@CoopStoreonline
#coronavirusuk #COVID?19 #Coronavid19 #coronavirus"
220,Can't wait for the day when we can all safely attend weddings and celebrate with our loved ones.,Prompt: please generate 100 informal tweets about covid19,When grocery store owners managers allow their customers to wander the store freely they are being irresponsible and contributing to the spread of the This simulation shows why Source
221,I'm pretty sure I've ordered more takeout in the past year than I have in my entire life.,Prompt: please generate 100 informal tweets about covid19,"End of the week..
Big S/o to doctors,nurses,health care workers,first responders,firemen,grocery store workers,delivery people,postage workers,pilots,flight attendants,,food service workers,pastors,everyone else personally sacrificing to serve daily in light of Covid-19 ????"
222,COVID-19 has made me realize how much I took traveling for granted. Can't wait to explore the world again.,Prompt: please generate 100 informal tweets about covid19,@DrPolonium Support CA ebt online pilot please ! ItÂs pandemic situation now and ppl needs online shopping without expose to the covid 19!
223,"I never thought I'd be so excited to see a line for a vaccine clinic, but here we are.",Prompt: please generate 100 informal tweets about covid19,"Now is not the time to go to the supermarket, experts say. How else can you get food? https://t.co/2cPv1jucUI"
224,Can we all just agree that Zoom fatigue is real and we're all tired of it?,Prompt: please generate 100 informal tweets about covid19,COVID 19 Supermarket giants have introduced strict new social distancing limits on how many people are allowed inside stores
225,COVID-19 has made me appreciate the beauty of nature and the outdoors more than ever before.,Prompt: please generate 100 informal tweets about covid19,As of this morning U S consumer confidence is at 98 72 falling 2 3 from the day before This is the first time the index has dropped below 100 since we began tracking in 2018 Since January 1 2020 it has fallen 14 52
226,I'm pretty sure I've learned more about epidemiology and public health in the past year than I ever did in school.,Prompt: please generate 100 informal tweets about covid19,@OfficialSPGB Venezuelan supermarket before #Covid_19. There is no panic buying there because there are no products on the shelf https://t.co/fRJdIxxtyI
227,Can't wait for the day when we can all attend concerts and sing our hearts out without worrying about masks and social distancing.,Prompt: please generate 100 informal tweets about covid19,"Dr Fauci: ÂWell, this is going to be a bad weekÂ - Dr. Birx: ÂThis is the moment to not be going to the grocery store, not going to the pharmacy, but doing everything you can to keep your family and your friends safeÂ  https://t.co/tCU3rjCT93

#islandernews #coronavirus #covid19"
228,"COVID-19 has made me realize how important it is to check in on friends and loved ones, even if it's just a quick text or phone call.",Prompt: please generate 100 informal tweets about covid19,The 519 sees big spike in demand for food service during COVID-19 pandemic https://t.co/DpYSNdmvcJ @citytammie https://t.co/aNOBe5mIfW
229,Can we all just agree that the biggest struggle of working from home is resisting the urge to take a nap in the middle of the day?,Prompt: please generate 100 informal tweets about covid19,"If you dont stock up on toilet paper, food, and water every #flu season then you shouldn't be stocking up for #coronavirus"
230,"I never thought I'd be so grateful for a virtual happy hour, but it's better than nothing.",Prompt: please generate 100 informal tweets about covid19,Japan Ditches China In Multi Billion Dollar Coronavirus Shakeout Japan will supply our cars our consumer products our Therapy from and their faster PCR test I m banking on Japan
231,COVID-19 has made me miss the days when I could go to a crowded bar and dance the night away with my friends.,Prompt: please generate 100 informal tweets about covid19,Coronavirus will boost ecommerce in the long run but brings new risks Link
232,I'm pretty sure I've gone through more hand sanitizer in the past year than I have in my entire life.,Prompt: please generate 100 informal tweets about covid19,"Wow! Good idea! Grocery store workers in #Minnesota classified as emergency workers, gives them childcare #coronavirus #COVID https://t.co/qTX0ezFwwz"
233,Can't wait for the day when we can all attend sporting events and cheer on our favorite teams together.,Prompt: please generate 100 informal tweets about covid19,"my new #cartoon :

Âno TP for your bungholeÂ

[ more #cartoons at https://t.co/vo9FaSQJdk ; tags: #ToiletPaper #coronavirus ]

: https://t.co/H3OLmabQnz"
234,"I never thought I'd say this, but I'm actually starting to enjoy cooking at home more than going out to eat.",Prompt: please generate 100 informal tweets about covid19,A supply crunch and steeprise in prices of essentials in this Manipur village that mainly houses the Meitei community are hitting the inhabitants hard many of whom have lost their livelihoods
235,COVID-19 has made me realize how much I took human interaction for granted. Can't wait to hug my friends and family again.,Prompt: please generate 100 informal tweets about covid19,"So instead of shutting our retail store down, we are now holding an event at my store with a food truck this Friday! Cant wait to get carina yall ?? super excited not having insurance provided by my employer and them saying they dont care about our wel being ?? #Covid_19"
236,Can we all just agree that wearing a mask has become a fashion statement? Who knew we'd be matching our masks to our outfits?,Prompt: please generate 100 informal tweets about covid19,"This should terrify anyone living in #Vancouver Over to you @DarcyJudy @jjhorgan @adriiandix @BCNDP what's the plan? Dwindling drug supply on #DTES drives prices up, leaves users desperate as #COVID19 closes border https://t.co/OpYfYbn3W1 #bcaddictions #bcaddicts #bcmentalhealth"
237,"I never thought I'd be so grateful for technology, but it's kept me connected to the world and my loved ones during this time.",Prompt: please generate 100 informal tweets about covid19,So far no one from our head office seems to have jumped at the chance to stand on cash for a shift with no mask or plexiglass! Way to go grocery stores. ??? https://t.co/4CbssHscWV
238,COVID-19 has made me miss the days when I could go to a crowded concert and feel the energy of the crowd.,Prompt: please generate 100 informal tweets about covid19,"Please REPORT HOARDING of Toilet Paper, Hand Sanitizer, Face Mask, and/or Food to your local authorities...
The Government wants to BUST THEIR ASSESS!!!??
#Hoarding 
#hoardshaming 
#coronavirus 
#StayAtHome https://t.co/vbNenhBdwo"
239,I'm pretty sure I've become an expert at creating a cozy and comfortable work-from-home space.,Prompt: please generate 100 informal tweets about covid19,@carlquintanilla @SquawkCNBC @BeckyQuick @andrewrsorkin @NewDay @kaitlancollins @FoxBusinessAM @MorningsMaria @cspanwj @KremlinRussia_E @SquawkStreet @MedvedevRussiaE @KSAmofaEN @KingSalman @SecPompeo @jimcramer @davidfaber @WhiteHouse @CNBCClosingBell @f
240,Can't wait for the day when we can all safely attend festivals and dance with strangers without worrying about COVID-19.,Prompt: please generate 100 informal tweets about covid19,"The last coal plant in New York retires as the state pursues carbon-free by 2040. PJM Submits MOPR: Natural gas and power prices slid last week, as power prices were flat to down in the face of ongoing demand destruction resulting from COVID-19Â https://t.co/RqPSArKx42 https://t.co/4xnXWR3KQ7"
241,"I never thought I'd be so excited to see people walking around with masks on, but it's a sign that we're taking this seriously.",Prompt: please generate 100 informal tweets about covid19,"Alpha GK hand sanitizer kills or permanently inactivates at least 99.99 percent of germs when used on the hands. It is available in 10 flavours.

To order contact us at &gt;&gt; 9300002759 or visit at &gt;&gt; https://t.co/6cIzDdtfE8
#handsanitizer #coronavirus #coronavirusoutbreakinindia https://t.co/ZrCyIpt7AC"
242,COVID-19 has made me realize how much I took for granted the ability to travel freely and explore new places.,Prompt: please generate 100 informal tweets about covid19,"With summer drinking occasions at risk of being lost due to the #coronavirus disease COVID-19 shutting down gatherings at beaches and pools, consumer insights firm @SocStandards looked at the potential effects of that loss on beverage alcohol products. https://t.co/sVoOlKM7FJ"
243,"Can we all just agree that we never want to hear the words ""social distancing"" or ""flatten the curve"" ever again?",Prompt: please generate 100 informal tweets about covid19,"BETTER THAN TOILET PAPER-
'zombie apocolypse night crawlers prowling the isles of empty shelves of never-before-empty stores-
'Take It Easy' on the Toilet Paper, goods say stores, President Trump  &gt; https://t.co/KGEExAZ99L #tp #toiletpaper #coronapocolypse?
#coronavirus https://t.co/zqZMFnersN"
244,"I never thought I'd say this, but I'm actually starting to enjoy virtual events and concerts more than in-person ones.",Prompt: please generate 100 informal tweets about covid19,"Corona Ko Roko Song

Tips to stop Corona Spread #coronavirus #JanataCurfew
#spreadawareness #SocialDistancing #sanitizer
#mask #StayAtHome
@akshaykumar
@TheShilpaShetty
@Bhuvan_Bam
@ashchanchlani
@fayedsouza
@mymalishka
Full vid?
https://t.co/4nupRr3ksw https://t.co/3GMM1fnMCs"
245,COVID-19 has made me miss the days when I could go to a crowded museum and admire art without worrying about masks and distancing.,Prompt: please generate 100 informal tweets about covid19,"@BBCWorld Precautions to take for #Coronavirus: 
1- Use cologne (kolonya). 
2- Stop entering the houses with shoes.
3- Do spring cleaning.
4- Food etc.Get the products as much as you need. 
5- Follow the warnings. And don't panic. 
#Coronaviru"
246,I'm pretty sure I've become an expert at finding new and creative ways to entertain myself at home.,Prompt: please generate 100 informal tweets about covid19,"something I'm doing from home today, donating to food banks who are going to be overrun with demand. donate locally or to cities in need @FoodBankForNYC &amp; @LAFoodBank 
#InThisTogether #Covid_19"
247,Can't wait for the day when we can all safely attend weddings and dance with our friends without worrying about COVID-19.,Prompt: please generate 100 informal tweets about covid19,For now American food producers are NOT experiencing production troubles during the pandemic The barren shelves are simply a reflection of the unusual increase in demand
248,"I never thought I'd be so grateful for a socially distanced picnic in the park, but it's better than nothing.",Prompt: please generate 100 informal tweets about covid19,"Avoid going shopping they say , do it online instead they say.. I,ll just starve then shall I as I can't get a home delivery for 8 days. #justnotfeesable #imoffshopping #coronavirus"
249,COVID-19 has made me realize how much I took for granted the ability to hug my loved ones and show affection.,Prompt: please generate 100 informal tweets about covid19,"What is critical to understand, is that the long-term planning horizons involved, and the momentum that currently exists in the energy transformation, means neither low oil prices nor #Covid_19 will interrupt or change our path towards the decarbonisation of our societies..."
250,Can we all just agree that we're tired of hearing about the different COVID-19 variants and just want it to be over already?,Prompt: please generate 100 informal tweets about covid19,"Proven fact - #Notaries #cough less than other people. One of my followers has been to a #Notary on 10 occasions and reported that there was no coughing at all. You are safer with a notary than at the #supermarket #dmv, or anywhere else during #covid19 #coronavirus"
251,"I never thought I'd be so excited to see a hand sanitizer station, but it's a sign that we're taking precautions seriously.",Prompt: please generate 100 informal tweets about covid19,I m going to give this roll of to a follower at midday on Sunday RT and follow for a chance to win I ll post it anywhere in the world
252,COVID-19 has made me miss the days when I could go to a crowded club and dance until the early morning.,Prompt: please generate 100 informal tweets about covid19,"Country was broke &amp; in debt, now lifetime taxation. As ppl we put money away to ride any bad times. Governments &amp; corporations didnt

Quantitive Easing created faked stock prices, creating yet another bubble. That bubble happened to be #Covid_19 

money problem was already here https://t.co/GRWspZFY6G"
253,I'm pretty sure I've become an expert at finding the best deals on groceries and household essentials.,Prompt: please generate 100 informal tweets about covid19,"15 CoronaVirus Hacks- Pandemic Guide, Safe Mask, homebound business op, Home Diagnosis,  Better than Toilet Paper, Sanitizers, Movies, Myths &amp; Tips &gt;&gt;&gt; https://t.co/FSC9LVBl1Q??
#Coronavirus 
#Pandemic #mask #test #toiletpaper #sanitizers #bizop https://t.co/KeO43TBmoK"
254,Can't wait for the day when we can all safely attend outdoor music festivals and enjoy the sun and good music.,Prompt: please generate 100 informal tweets about covid19,In depth Amid regime secrecy about the spread of Covid 19 war weary Syrians face skyrocketing prices and food shortages as bomb damaged health systems are unable to cope with the pandemic writes Tesbih Habbal
255,"I never thought I'd say this, but I'm actually starting to enjoy working from home more than going into the office.",Prompt: please generate 100 informal tweets about covid19,SALISBURY: @sainsburys is the latest supermarket to make some changes to help older shoppers during Covid-19: https://t.co/6Fz2lBqSUz
256,Can we all just agree that the best part of wearing a mask is not having to worry about bad breath?,Prompt: please generate 100 informal tweets about covid19,I have the toilet paper T-Shirt - https://t.co/FcmrI04kOT He-Man t-shirt from @melonseta &amp; @riptapparel for just $14! #AbelMoreno #Cartoon #Coronavirus #COVID19 #HeMan #MastersOfTheUniverse #Melonseta #Parody #PrinceAdam #ToiletPaper #TV https://t.co/PysxEBJDCd
257,"I never thought I'd be so grateful for a walk in the park, but it's a great way to get some fresh air and exercise safely.",Prompt: please generate 100 informal tweets about covid19,"Definitely expecting the companies already lagging behind their peers on online shopping investment to feel the pinch during COVID-19, especially for mobile experience"
258,COVID-19 has made me miss the days when I could travel and not worry about quarantine restrictions and testing.,Prompt: please generate 100 informal tweets about covid19,@daisychaindream Good luck...if UK citizens are as dumb and selfish as the US citizens youÂve got your work cut out for you.  IÂm glad thereÂs not an actual shortage of food/healthcare items. Can you imagine?? ??? #corona
259,I'm pretty sure I've become an expert at finding new and creative ways to stay active at home.,Prompt: please generate 100 informal tweets about covid19,"The supermarket jobs available in Lancashire now as Morrisons, Tesco, Asda and more hire amid Covid-19 crisis - LancsLive https://t.co/5VEmgXMb6i"
260,Can't wait for the day when we can all safely attend live theater performances and be swept away by the magic of the stage.,Prompt: please generate 100 informal tweets about covid19,Have you seen our latest news? https://t.co/iqMI2tuWnk https://t.co/ctmINoPoir
261,"I never thought I'd be so excited to see a delivery driver, but it's a sign that I don't have to leave the house for essentials.",Prompt: please generate 100 informal tweets about covid19,Uber Eats food delivery service unveiled special pricing for both restaurants and customers in anticipation of increased demand during the COVID-19 coronavirus shutdown of bars and restaurants. https://t.co/ARJx91xjJY
262,COVID-19 has made me realize how much I took for granted the ability to meet new people and make new friends.,Prompt: please generate 100 informal tweets about covid19,"S&amp;P Global: #coronavirus has likely pushed the global economy into recession, with further uncertainties arising from the collapse in oil prices and shaken financial markets"
263,Can we all just agree that virtual dating is both weird and kind of great at the same time?,Prompt: please generate 100 informal tweets about covid19,"@JuliaWats Nothing more you can do with the supermarket.  However, you could look for a Covid 19 Mutual Aid Facebook Group near her.  There will be volunteers willing to shop for her, and take stuff to her house.  Obv there's a level of trust in it. If yo"
264,"I never thought I'd be so grateful for a home-cooked meal, but it's a great way to stay healthy and save money.",Prompt: please generate 100 informal tweets about covid19,"I can just picture myself 50 years from now telling my grandchildren: ÂBack in my time, we used to eat meals inside establishments, watch movies in theaters instead of streaming, and purchase clothes in stores instead of online shoppingÂ.
#Covid_19 #SundayThoughts"
265,COVID-19 has made me miss the days when I could travel without worrying about border closures and travel restrictions.,Prompt: please generate 100 informal tweets about covid19,BBC News - #Coronavirus: #Iceland store to open early for older shoppers https://t.co/PwaNlE6BOD #COVID19 #2019nCoV #CoronavirusUpdates #CoronavirusPandemic #PublicHealth #retail #age #NorthernIreland
266,I'm pretty sure I've become an expert at finding the best virtual workouts and yoga classes.,Prompt: please generate 100 informal tweets about covid19,The Salvation Army of Jackson said it s experiencing a critical shortage at its food pantry due to demand increases caused by the coronavirus COVID 19 pandemic
267,Can't wait for the day when we can all safely attend family gatherings and enjoy home-cooked meals with our loved ones again.,Prompt: please generate 100 informal tweets about covid19,"Feel like giving up and going to bed.
After a run though.
During which I'll pretend everything's going to work out.
#COVID19 
#coronavirus
#StopHoarding 
#panicbuyinguk"
268,"""It's important to remember that COVID-19 is still a threat. Please wear a mask, practice social distancing, and stay safe everyone."" - Lady Gaga",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,Hear and I chatting about the latest news from major events being cancelled to supermarket queues in today s podcast  
269,"""I know it's tough, but let's all do our part to protect ourselves and our loved ones from COVID-19. We'll get through this together."" - Dwayne ""The Rock"" Johnson",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,"Right, I'm about to start looking into online supermarket deliveries for my quarantine. Which one can I somewhat rely on to have stock and not substitute? Is anyone prioritizing online and home delivery over in store at the minute? #StopHoarding #CoronaCrisis"
270,"""COVID-19 has been a challenging time for us all, but let's keep each other motivated and positive. We can make it through this!"" - Jennifer Aniston",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,Great to see @dunnesstores Kilnamanagh now limiting numbers going into the stores. Social distancing difficult in a supermarket but everyone doing their best. #Covid_19 #SocialDistancing https://t.co/26eI8D2Rij
271,"""I'm grateful for all the essential workers who are risking their lives to keep us safe during this pandemic. Thank you from the bottom of my heart."" - Ellen DeGeneres",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,"Waiting to get inside the supermarket 
#COVID__19 https://t.co/GGj2tph3w0"
272,"""Stay home, stay safe, and don't forget to wash your hands. We can all make a difference in fighting COVID-19."" - Kim Kardashian",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,"#WestJet is lying. They are NOT lowering prices to get you out of the country.

These are screen shots for the same flight 2am 12pm 7pm
 #covid_19 #canada  @GlobalNational @globalnews @GlobalCalgary @CTVNews @CNN @JustinTrudeau https://t.co/pfEQVZVRf6"
273,"""Remember to wear a mask and practice social distancing. We all have a part to play in stopping the spread of COVID-19."" - Ariana Grande",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,"If your store is out of #toiletpaper , I found a great substitute in front of my neighborÂs house. #trump2020 #maga #KAG2020 #coronavirus #Cult45 #VoteBlue2020 https://t.co/9axYXNaZa6"
274,"""Let's all take a moment to appreciate the healthcare workers who are on the frontlines of this pandemic. Thank you for your bravery and dedication."" - BeyoncÃ©",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,"The next time you feel 'tired' about being locked in the house, think about the medical professionals, grocery store workers, pharmacists, first responders, etc. who are showing up work every day.  They don't have the luxury of being tired. #coronavirus #Cuomo"
275,"""COVID-19 has affected so many lives. Let's continue to support each other and remember that we're all in this together."" - Taylor Swift",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,and the will bring quietly raging consumer debt crisis to a head Online lenders and other more traditional nonbank players are sinking further into trouble as a weakening economy takes its toll
276,"""I urge everyone to get vaccinated against COVID-19 as soon as possible. It's the best way to protect ourselves and our communities."" - Oprah Winfrey",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,My thanks to every person working in harms way to provide the rest of us with the necessities of life especially all the grocery store workers who take on the daily risk of additional exposure to potentially infected people so we can eat and live THANK YOU
277,"""We're all struggling with the effects of COVID-19, but let's not forget to find joy and happiness in the little things. Sending love to everyone out there."" - Selena Gomez",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,"@RealJamesWoods @DastardlyJabby Im not panicking. I bought my masks, gloves, food, and toilet rolls a month ago. They had loads in stock back then. Im not panicking because I DID NOT listen to government advice. I did my own research, read medical jou"
278,"""COVID-19 has taught us the importance of empathy and kindness towards one another. Let's keep spreading positivity and hope."" - Meghan Markle",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,TAKE ACTION TODAY: Demand a Green Stimulus for the Right to Healthy Food During the COVID-19 Epidemic and Beyond! https://t.co/1kZjBvxan6
279,"""Stay strong, stay safe, and keep fighting against COVID-19. We can beat this."" - Chris Hemsworth",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,COVID-19 to give Amazon greater lead in retail. Many brick-and-mortar stores expected go close long-term as a result of the outbreak. #IMLearningFX https://t.co/pXnFGiWeFF
280,"""We're all going through a tough time, but let's not forget to take care of our mental health too. It's okay to not be okay."" - Zendaya",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,"Let me point out how yÂall did NOT give a DAMN about truck drivers, grocery store workers, etc until COVID-19. Everyone plays their part but you donÂt care if they are on a certain level until it effects you and you need them. Smh."
281,"""I'm proud of all the small businesses and entrepreneurs who are adapting to these challenging times. Keep pushing forward!"" - Kylie Jenner",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,The food-delivery ban just doesn't make sense - and nobody in government seems able to explain it. https://t.co/kRmzkQbIno
282,"""COVID-19 has been a stark reminder of the importance of science and research. Thank you to all the scientists and healthcare professionals working tirelessly to find solutions."" - Bill Gates",prompt: please generate 100 tweets about COVID19 that would be written by celeberties,Talk about seriously losing the plot These clowns are queuing for at in the western suburb of Auburn
